#ItemId,Category,Price,StackMax,Rank,Name,Subcategory,Level,Jobs,CrestSlots,Quality,Gender
34,1,7,10,1,Healing Potion,1,,,,,
35,1,25,10,3,Superior Healing Potion,1,,,,,
36,1,7,10,1,Gala Extract,1,,,,,
37,1,20,10,2,Antidote,1,,,,,
38,1,20,10,9,Key Insignia Potion,1,,,,,
39,1,20,10,2,Eyedrops,1,,,,,
40,1,75,10,9,Petrification Cure,1,,,,,
41,1,100,10,9,Panacea,1,,,,,
42,1,50,10,2,Conqueror's Periapt,1,,,,,
43,1,50,10,2,Angel's Periapt,1,,,,,
44,1,50,10,2,Demon's Periapt,1,,,,,
45,1,50,10,2,Sprite's Periapt,1,,,,,
46,1,0,99,8,Dreed Treasury Key,8,,,,,
47,1,0,99,9,Small Butterfly Key,8,,,,,
48,1,0,99,9,Orc General's Rusty Key,8,,,,,
49,1,0,99,8,Dreed Master Key,8,,,,,
50,1,0,99,8,Dungeon Key,8,,,,,
52,1,25,10,6,Throwblast,2,,,,,
54,1,400,10,15,White Dragon Miracle Cure,1,,,,,
55,1,1,99,1,Lantern Kindling,1,,,,,
56,1,400,10,15,White Dragon Gala Extract,1,,,,,
57,1,5,10,1,Pickaxe,3,,,,,
58,1,5,10,1,Lumber Knife,4,,,,,
59,1,5,10,1,Lockpick,5,,,,,
61,1,40,10,3,Superior Gala Extract,1,,,,,
1351,1,37,10,3,Mushroom Sauté,1,,,,,
7552,1,100,10,5,Healing Elixir,1,,,,,
7553,1,200,10,7,Superior Healing Elixir,1,,,,,
7554,1,400,10,9,Healing Remedy,1,,,,,
7555,1,800,10,11,Superior Healing Remedy,1,,,,,
7789,1,1,255,1,Coin Pouch (1 G),1,,,,,
7790,1,10,255,1,Coin Pouch (10 G),1,,,,,
7791,1,100,255,1,Coin Pouch (100 G),1,,,,,
7792,1,1,255,1,Rift Crystal (1 RP),1,,,,,
7793,1,10,255,1,Rift Crystal (10 RP),1,,,,,
7794,1,100,255,1,Rift Crystal (100 RP),1,,,,,
7795,1,1,255,1,Blood Orb (1 BO),1,,,,,
7796,1,10,255,1,Blood Orb (10 BO),1,,,,,
7797,1,100,255,1,Blood Orb (100 BO),1,,,,,
9066,1,200,99,8,Forest Dwellers' Old Key,8,,,,,
9361,1,100,10,5,Quality Gala Extract,1,,,,,
9362,1,200,10,7,Superior Quality Gala Extract,1,,,,,
9363,1,400,10,9,Strong Gala Extract,1,,,,,
9364,1,800,10,11,Superior Strong Gala Extract,1,,,,,
9365,1,20,10,2,Bottled Haste,1,,,,,
9366,1,20,10,2,Waking Draught,1,,,,,
9367,1,10,10,2,Terry Cloth,1,,,,,
9368,1,10,10,2,Absorbent Cloth,1,,,,,
9369,1,15,10,2,Restorative,1,,,,,
9370,1,20,10,2,Fireproof Draught,1,,,,,
9371,1,20,10,2,Hot Gel,1,,,,,
9372,1,20,10,3,Purifying Decoction,1,,,,,
9373,1,20,10,3,Recovery Decoction,1,,,,,
9374,1,35,10,4,Interventive,1,,,,,
9375,1,40,10,5,Refreshing Remedy,1,,,,,
9376,1,35,10,4,Concoction of Light,1,,,,,
9377,1,35,10,4,Fortifier,1,,,,,
9378,1,50,10,11,Aqua Regia Sorbet,1,,,,,
9379,1,600,10,14,Pill of Savages,1,,,,,
9380,1,600,10,14,Gala Pickling Liquor,1,,,,,
9381,1,100,10,5,Conqueror's Amulet,1,,,,,
9382,1,100,10,5,Angel's Amulet,1,,,,,
9383,1,100,10,5,Demon's Amulet,1,,,,,
9384,1,100,10,5,Sprite's Amulet,1,,,,,
9387,1,300,10,8,Conqueror's Talisman,1,,,,,
9388,1,300,10,8,Angel's Talisman,1,,,,,
9389,1,300,10,8,Demon's Talisman,1,,,,,
9390,1,300,10,8,Sprite's Talisman,1,,,,,
9393,1,5,10,1,Water Flask,2,,,,,
9394,1,10,10,2,Oil Flask,2,,,,,
9395,1,15,10,3,Poison Flask,2,,,,,
9396,1,20,10,4,Throwing Rock,2,,,,,
9397,1,20,10,5,Throwing Skull,2,,,,,
9398,1,30,10,7,Throwing Knife,2,,,,,
9399,1,35,10,8,Dragon's Spit,2,,,,,
9400,1,600,10,14,Blasting Beads,2,,,,,
9401,1,30,10,7,Enhanced Pickaxe,3,,,,,
9402,1,30,10,7,Enhanced Lumber Knife,4,,,,,
9403,1,60,10,7,Enhanced Lockpick,5,,,,,
